Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
18,Incorrect,Yes,Guess,D2_L2_Separation_Processes,96,299,"A binary mixture with components A and B is to be separated in a distillation column to obtain 95 mol% A as the top product. The binary mixture has a constant relative volatility aAB = 2. The column feed is a saturated liquidcontaining 50 mol% A. Under the usual simplifyingassumptions such as constant molal overflow, negligible heat loss, ideal trays, the minimum reflux ratio for this separation is",C. 1.4,A. 1.7
19,Correct,No,Sure I'm Right,D2_L2_Separation_Processes,30,36,A solution of solute (A) in diluent (B) is mixed with solvent (S). The component (B) is slightly soluble in (S). The resulting extract willbe,"D. rich in S, poor in B, rich in A","D. rich in S, poor in B, rich in A"
20,Correct,No,Sure I'm Right,D2_L4_Momentum_Transfer,5,22,Turbulent flow generally occurs for cases involving,D. none of these,D. none of these
21,Correct,No,Sure I'm Right,D2_L3_Thermodynamics,14,44,How many degrees of freedom has each of the following systems? Liquid water in equilibrium with its vapor,A. one,A. one
22,Correct,No,Confident,D2_L6_Particle_Technology,29,40,Gyratory crushers compared to thereciprocating jaw crushers,A. have greater capacity per unit of discharge area.,A. have greater capacity per unit of discharge area.
23,Correct,No,Sure I'm Right,D2_L4_Momentum_Transfer,52,20,Quicksand is an example of a fluid.,B. dilatent,B. dilatent
24,Correct,No,Confident,D2_L6_Particle_Technology,92,29,Filter aid is used,C. to increase the porosity of the cake,C. to increase the porosity of the cake
25,Incorrect,No,Confident,D2_L7_Heat_Mass_Transfer,73,861,"Consider air at 1 atm, 35 C and 40% relative humidity: Using: psychrometric chart, determine The specific humidity",A. 0.025,C. 0.014
26,Incorrect,Yes,Guess,D2_L9_Chemical_Reaction_Engineering,51,53,"Nitrogen pentoxide decomposes as follows: N₂05→1/2 O2 + N204 -r N205 = (2.2 x 10 -3/min) C -N2-O5 N2O4 = 2NO2, instantaneous Kp = 45 mmHg The partial pressure of NO₂",B. 0.15 atm,A. 0.19 atm
27,Incorrect,Yes,Guess,D2_L8_Equipment_Plant_Design,29,24,Slope of countercurrent flow rotary drier is in the range of ______ meters,C. 0 to 1.5,A. 0 to 0.08
28,Incorrect,Yes,Guess,D2_L5_Transport_Phenomenon,89,104,"A mixture of benzene vapor and flue gas contains 12.7 mole % benzene and is to be scrubbed continuously in a packed tower operated at atmospheric pressure at 43°C. The tower is to be designed to treat 36000 ft3 per hour of entering gas and the exit gas is to contain 1.5 mole % benzene. Pure solvent will be supplied at the rate of 28 lbmol/hr. The solution of benzene in oil may be assumed to follow Raoult's law and the vapor pressure of pure solvent at 43°C is 0.263 atm. It is agreed that the maximum allowable superficial velocity of the gas is 1 ft/sec. Calculate the height of the tower required, assuming that the height of a transfer unit is 2 ft.",C. 5.8 ft,B. 7.0 ft
29,Correct,Yes,Guess,D2_L8_Equipment_Plant_Design,51,128,The longitudinal stress induced in a thin-walled cylindrical vessel under internal pressure is,C. pd/4t,C. pd/4t
30,Correct,No,Sure I'm Right,D2_L1_ChE_Calculations,63,588,"A furnace burns a fuel oil containing 82% carbon, 17% hydrogen and 1% sulfur using 10% excess air. Assuming that the combustion of C to CO₂ is only 90% complete and that all the sulfur is burnt to SO2 calculate the %CO₂ in the analysis of flue gas.",B. 9.8%,B. 9.8%
31,Incorrect,No,Confident,D2_L4_Momentum_Transfer,49,18,Pipes having diameter 14 inches or more are designated by their,C. schedule number,A. outside diameter
32,Correct,Yes,Guess,D2_L9_Chemical_Reaction_Engineering,6,112,"On doubling the concentration of reactant, the rate of reaction triples, find the reaction order.",C. 1.59,C. 1.59
33,Correct,No,Confident,D2_L3_Thermodynamics,71,446,"For liquid acetone at 20°C and 1 bar, ẞ = 1.487 x 10^-3 C-, к = 62 x 10-6 bar- and V = 1.287 cm³/g. What is the change in volume for a change from 20°C and 1 bar to 0 °C and 10 bar?",A. -0.038 cm³/g,A. -0.038 cm³/g
34,Correct,Yes,Guess,D2_L8_Equipment_Plant_Design,49,43,"A certain pressure vessel manufacturer avoids reinforcements calculations for openings by always providing a reinforcing extending up to double the diameter of the opening and of the same material and thickness as that of the shell wall If area compensation is accepted as a code guideline, his approach leads to safe design",D. irrespective of the shape of the vessel,D. irrespective of the shape of the vessel
35,Incorrect,Yes,Guess,D2_L9_Chemical_Reaction_Engineering,40,58,"A second order reaction involving reactants initially present at 0.10 mole/L is found to be 20% complete in 40 minutes, when the reaction is 25 °C, and 40% complete in 35 minutes, when the reaction is 50 °C. What is the activation energy for this reaction in cal/mol.",A. 2700 cal/mol,B. 8500 cal/mol
36,Correct,No,Sure I'm Right,D2_L7_Heat_Mass_Transfer,111,19,Which of the following is not a continuous drier?,D. Tray drier,D. Tray drier
37,Correct,No,Sure I'm Right,D2_L5_Transport_Phenomenon,51,31,Ammonia (A) being absorbed from air (B) into water is an example of,B. steady-state unicomponent,B. steady-state unicomponent
38,Incorrect,Yes,Guess,D2_L4_Momentum_Transfer,6,484,Water at 80°F at 10 ft/s through a 6 inches sch 40 steel pipe with length of 1000 ft. The Reynolds number is,B. 260 000,C. 550 000
39,Correct,No,Sure I'm Right,D2_L1_ChE_Calculations,9,250,"A supplier shipped a material for chicken feed with the following analytical report: protein - 22%, triglyceride - 8%, moisture - 10%. During transport moisture was picked up by the material; the later analytical report showed 14% moisture. Based on the latest report, recalculate the % triglyceride.",C. 7.64%,C. 7.64%
40,Correct,Yes,Guess,D2_L3_Thermodynamics,95,32,An ice skating rink contains ice at -10°C. Calculate thepressure than an ice skate blade must exert to allowsmooth ice skating at this temperature. Assume thatΔΗ fusion 1440 cal/mol. Pliquid 1.0 g/ml and Pice= 0.917 g/ml.,C. 20x103 psi,C. 20x103 psi
41,Correct,No,Confident,D2_L9_Chemical_Reaction_Engineering,61,64,A space-time of 3 hours for a flow reactor means that,A. the time required to process one reactor volume of feed (measured at specified conditions) is 3 hour,A. the time required to process one reactor volume of feed (measured at specified conditions) is 3 hour
42,Incorrect,Yes,Guess,D2_L3_Thermodynamics,31,191,"A container with an air tight piston is at a pressure of 100 psia and at a temperature of 70°F. The piston moves up when 100 BTU of heat is transferred at a constant pressure and the volume changes from 0.5 ft3 to 2.0 ft3. Assuming perfect gas behavior, calculate the following: The final temperature in",B. 1440,A. 1660
43,Correct,No,Sure I'm Right,D2_L2_Separation_Processes,57,269,"Determine the composition of the equilibrium vapor over a liquid mixture consisting of 10 mol % water, 50 mol % acetic acid and 40 mol % acetone at 80°C, assuming that the component obey Raoult's law. The vapor pressures ofcomponents at 80°C are: water - 47.33 kPa, acetic acid 27.32 kPa and acetone - 219.77 kPa.","B. 4.45% water, 12.85% acetic acid and 82.70% acetone","B. 4.45% water, 12.85% acetic acid and 82.70% acetone"
44,Correct,No,Sure I'm Right,D2_L7_Heat_Mass_Transfer,24,55,"A dilute aqueous solution is to be concentrated in an evaporator system. High pressure steam is available. Multiple effect evaporator system employed, because",B. total amount of vapor produced per kg of feed steam in a multiple effect system is much higher than in a single effect.,B. total amount of vapor produced per kg of feed steam in a multiple effect system is much higher than in a single effect.
45,Correct,No,Confident,D2_L7_Heat_Mass_Transfer,79,276,The air supply for a dryer has a dry-bulb temperature of 70 F and a wet bulb temperature of 60 F. It is heated to 200 F by coils and blown into the dryer: In the dryer it cools along an adiabatic cooling line and leaves the dryer fully saturated: What is its percentage relative humidity?,C. 55%,C. 55%
46,Incorrect,Yes,Guess,D2_L5_Transport_Phenomenon,59,128,"By what percentage would the rate of absorption be increased or decreases by increasing the total pressure from 100 to 200 kPa in the following cases? The absorption of ammonia from a mixture of ammonia and air containing 10% ammonia by volume, using pure water as solvent. Assume that all the resistance to the mass transfer lies within the gas phase.",B. 50%,A. 0%
47,Incorrect,No,Confident,D2_L1_ChE_Calculations,40,611,"A barytes composed of 100 percentBaSO4 is fused with carbon in the formof coke containing 6% ash (which isinfusible). The composition of the fusionmass is BaSO 11.1%, BaS 72.8%, C 13.9%, Ash 2.2%, Reaction: BaSO+4 C→ BaS + 4 CO. Find the percent excess reactant.",B. 38.9%,C. 50.6%
48,Correct,No,Sure I'm Right,D2_L6_Particle_Technology,42,24,"As the product becomes finer, the energy required forgrinding",C. increases,C. increases
49,Correct,No,Sure I'm Right,D2_L5_Transport_Phenomenon,47,19,The Fick's Law of Diffusion gives the rate of diffusion based on,C. concentration driving force,C. concentration driving force
50,Incorrect,Yes,Guess,D2_L6_Particle_Technology,9,53,"A sand mixture was screened through a standard 10mesh screen. The mass fraction of the oversize material in feed, overflow and underflow were found to be 0.38, 0.79 and 0.22 respectively. The screen effectivenessbased on the oversize is",C. 0.58,A. 0.50
