Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
11,Correct,No,Guess,D1_L5_Material_Science_Engineering,59,42,Which of the following statements about filament winding is true?,C. It is commonly used for cylindrical structures,C. It is commonly used for cylindrical structures
12,Correct,Yes,Guess,D1_L6_Physical_Chemistry,24,124,"(Situation: A 2 kg open calorimeter at 100 u02daC with heat capacity 4 kJ/K has 100 g of ice at -10 u02daC placed inside it, reaching a common final temperature.) Calculate the entropy change of the calorimeter in cal/K.",C. -46,C. -46
13,Correct,No,Sure I'm Right,D1_L4_Organic_Chemistry,17,59,Give the IUPAC name for the following compound: a cyclohexane ring bearing a CH₃ group on one ring carbon and a Cl atom on the adjacent ring carbon.,A. 1-chloro-2-methylcyclohexane,A. 1-chloro-2-methylcyclohexane
14,Incorrect,Yes,Guess,D1_L6_Physical_Chemistry,64,33,"(Situation: Three electrolytic cells A, B, and C, containing solutions of ZnSO4, AgNO3, and CuSO4 respectively, are connected in series. A steady current of 1.5 A was passed through them until 1.45 g of silver deposited at the cathode of cell B.) What mass of copper was deposited (in cell C)?",C. 0.576 g,A. 0.427 g
15,Incorrect,Yes,Guess,D1_L2_Environmental_EngSci,40,14,"For numbers 40 to 42: The following mineral analysis was reported for a water sample taken from well No. 1 at the Eastwood Manor Subdivision near McHenry Illinois (Woller and Sanderson, 1976a). Iron(2+) 0.2, Manganese 0, Ammonium 0.5, Sodium 4.7, Potassium 0.9, Calcium 67.2, Magnesium 40.0, Barium 0.5, Silica 20.0, Fluoride 0.35, Boron 0.1, Nitrate 0.0, Chloride 4.5, Sulfate 29.0, Alkalinity 284 as CaCO3, pH 7.6 units (all mg/L as the ion unless stated otherwise). Determine the total hardness.",D. 51,C. 335
16,Correct,No,Sure I'm Right,D1_L4_Organic_Chemistry,48,16,A nucleophile acts as a ________ when it reacts with an electrophile.,D. Lewis base,D. Lewis base
17,Incorrect,Yes,Guess,D1_L5_Material_Science_Engineering,5,24,Calculate the percentage ionic character of the bond in MgO.,C. 52.79%,B. 73.35%
18,Incorrect,No,Sure I'm Right,D1_L1_Chem_for_Engineers,31,25,"Which greenhouse gas is produced from agricultural and industrial activities, combustion of fossil fuels and waste, and wastewater treatment? This greenhouse gas has a GWP of 273.",C. Methane,B. Nitrous oxide
19,Correct,No,Slightly Confident,D1_L4_Organic_Chemistry,16,108,"Give the IUPAC name for the following structure. Skeletal (line-angle) drawing of an alkane: a straight seven-carbon chain, with an isopropyl-type fork (two CH₃ groups on one carbon) at one end and a two-carbon (ethyl) branch on the carbon next to that fork carbon; i. e. (CH₃)₂CH–CH(CH₂CH₃)–CH₂CH₂CH₂CH₃.",B. 3-ethyl-2-methylheptane,B. 3-ethyl-2-methylheptane
20,Correct,No,Sure I'm Right,D1_L6_Physical_Chemistry,9,8,Which of the following is not conserved in any process?,D. Entropy,D. Entropy
21,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,19,9,Which of the following pairs will form a buffer solution in the course of a titration?,"C. Acetic acid, sodium hydroxide","C. Acetic acid, sodium hydroxide"
22,Correct,No,Slightly Confident,D1_L7_CT_Biochemistry,17,28,The term u201cSALTING INu201d refers to?,B. Increasing the solubility of a protein in solution by adding ions.,B. Increasing the solubility of a protein in solution by adding ions.
23,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,12,14,An important function of cholesterol is to:,A. modulate membrane fluidity,A. modulate membrane fluidity
24,Incorrect,Yes,Guess,D1_L3_Analytical_Chemistry,46,92,Calculate the weight of primary standard Na₂C₂O₄ (134 g/mol) necessary to react with 25 mL of 0.2005 M KMnO₄ in acidic medium.,C. 1.313 g,B. 1.679 g
25,Incorrect,Yes,Guess,D1_L6_Physical_Chemistry,25,9,"(Situation: A 2 kg open calorimeter at 100 u02daC with heat capacity 4 kJ/K has 100 g of ice at -10 u02daC placed inside it, reaching a common final temperature.) Calculate the entropy change of the ice in cal/K.",B. 100,C. 60
26,Correct,Yes,Guess,D1_L2_Environmental_EngSci,21,255,"A standard 5-Day BOD test is run using a mix consisting of three parts of distilled water and one-part wastewater. If the initial dissolved oxygen of the mix is 10 mg/L and after 5 days, the dissolved oxygen is 4 mg/L. The dissolved oxygen value after a long period of time is 1 mg/L. Calculate the rate constant k (/day).",C. 0.220,C. 0.220
27,Incorrect,No,Sure I'm Right,D1_L5_Material_Science_Engineering,73,9,"When a system is at equilibrium, what is the value of Gibbs free energy?",C. Zero,B. Minimum
28,Incorrect,Yes,Guess,D1_L2_Environmental_EngSci,38,20,"For numbers 35 to 39: The analysis of a sample of water with pH 7.5 has produced the following concentrations (mg/L). Cations: Cau00b2u207a 80, Mgu00b2u207a 30, Nau207a 72, Ku207a 6. Anions: HCO3u207b 165, Clu207b 100, SO4u00b2u207b 201, find the alkalinity, all expressed as CaCO3.",B. 188,C. 135
29,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,110,32,Immobilized cell reactors for wastewater treatment have the advantage of having/being:,D. all of the above,D. all of the above
30,Incorrect,No,Guess,D1_L2_Environmental_EngSci,44,23,Type of wastewater treatment that employs physical and chemical treatment methods to remove or reduce a high percentage of suspended solids and toxic materials.,C. Secondary Treatment,A. Primary Treatment
31,Incorrect,No,Sure I'm Right,D1_L1_Chem_for_Engineers,65,78,Which statement about ingestion as a route of entry into the workers body by workplace chemicals is incorrect,C. hand washing is a method of entry of chemicals by ingestion can be reduced,A. ingestion is usually a significant way in which chemicale gain into the body entry _
32,Correct,No,Sure I'm Right,D1_L4_Organic_Chemistry,89,62,What is the carboxylic acid derivative given by CH₃CH₂CH₂COCl?,B. butanoyl chloride,B. butanoyl chloride
33,Correct,No,Guess,D1_L1_Chem_for_Engineers,50,15,In which class of fire can carbon dioxide extinguishers be used?,D. Class B and C,D. Class B and C
34,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,9,11,Which of these fluids is most likely to be used as heat carriers in electricity generation facilities?,A. Water,A. Water
35,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,98,7,An organism that grows best above 50u00b0C is called:,B. thermophilic,B. thermophilic
36,Incorrect,Yes,Guess,D1_L6_Physical_Chemistry,23,13,A 2 kg open calorimeter at 100 u02daC has a heat capacity of 4 kJ/K. 100 g of ice at -10 u02daC was placed inside the calorimeter. Calculate the final temperature in u00b0C.,C. 86,B. 82
37,Correct,No,Confident,D1_L3_Analytical_Chemistry,50,51,"If the incident light is 100 units and the transmitted light is 30 units, what is the absorbance?",A. 0.52,A. 0.52
38,Correct,No,Sure I'm Right,D1_L4_Organic_Chemistry,103,65,"What is the proper name of the compound below? Structure: a benzene ring bearing an OH group and an unbranched butyl group (–CH₂CH₂CH₂CH₃) meta (1,3) to each other.",D. m-butylphenol,D. m-butylphenol
39,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,32,7,Hardness of water is usually expressed in parts per million of,B. CaCO3,B. CaCO3
40,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,33,85,Find the pH at the following points in the titration of 25 mL of 0.3 M HF with 0.3 M NaOH. The K_a value is 6.6x10⁻⁴. What is the pH after adding 10 mL of 0.3 M NaOH?,B. 3,B. 3
41,Incorrect,No,Sure I'm Right,D1_L4_Organic_Chemistry,12,9,What is the functional group of CH₃CH₂CH₂OCH₃?,B. ketone,D. ether
42,Correct,No,Guess,D1_L2_Environmental_EngSci,42,60,"For numbers 40 to 42: The following mineral analysis was reported for a water sample taken from well No. 1 at the Eastwood Manor Subdivision near McHenry Illinois (Woller and Sanderson, 1976a). Iron(2+) 0.2, Manganese 0, Ammonium 0.5, Sodium 4.7, Potassium 0.9, Calcium 67.2, Magnesium 40.0, Barium 0.5, Silica 20.0, Fluoride 0.35, Boron 0.1, Nitrate 0.0, Chloride 4.5, Sulfate 29.0, Alkalinity 284 as CaCO3, pH 7.6 units (all mg/L as the ion unless stated otherwise)., determine the non-carbonate hardness.",D. 51,D. 51
43,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,34,15,Enzyme responsible for proofreading base pairing is,A. DNA polymerase,A. DNA polymerase
44,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,36,23,"RNA is synthesized on a DNA template in a process called _____, which utilizes the enzyme _____.","C. transcription, RNA polymerase","C. transcription, RNA polymerase"
45,Incorrect,No,Guess,D1_L4_Organic_Chemistry,55,116,"What is the major organic product of the following reaction? Reactant: 3-bromo-2,3-dimethylhexane, (CH₃)₂CH–C(CH₃)(Br)–CH₂CH₂CH₃ (skeletal drawing with an isopropyl group and a Br on the tertiary carbon), treated with NaOCH₂CH₃ (sodium ethoxide).","D. (E)-2,3-dimethyl-3-hexene","B. 2,3-dimethyl-2-hexene"
46,Correct,No,Sure I'm Right,D1_L6_Physical_Chemistry,18,166,Calculate the enthalpy change of the reaction (in kJ/mol): CS2(l) + 3O2(g) u2192 CO2(g) + 2SO2(g) Mechanism: C(s) + O2(g) u2192 CO2(g); u0394HF = -393.5 kJ/mol S(s) + O2(g) u2192 SO2(g); u0394HF = -296.8 kJ/mol C(s) + 2S(s) u2192 CS2(l); u0394HF = 87.9 kJ/mol,B. -1075,B. -1075
47,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,108,52,"Which of the following best describes ""extended producer responsibility"" (EPR)?","B. A program that encourages producers to take responsibility for the entire lifecycle of their products, including disposal","B. A program that encourages producers to take responsibility for the entire lifecycle of their products, including disposal"
48,Incorrect,No,Confident,D1_L5_Material_Science_Engineering,17,41,"Below is a unit cell for a hypothetical metal. Figure: a rectangular box-shaped unit cell drawn with x, y, and z axes. The two base edges (along x and y) are each 0.35 nm long, the vertical edge (along z) is 0.45 nm long, and all angles between the axes are marked as 90°. Atoms sit at the eight corners and there is one atom at the center of the cell. What is the crystal system of this unit cell?",C. orthorhombic,B. tetragonal
49,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,18,127,A 0.1 M solution of a base is 2% hydrolyzed. Find K_b.,D. 4.1x10⁻⁵,D. 4.1x10⁻⁵
50,Correct,No,Confident,D1_L1_Chem_for_Engineers,40,14,A worker reports skin irritation after using various chemicals ~which SDS section would you use to confirm which chemical is Ihe cause of the workers symptoms?,A. Section 2,A. Section 2
