Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
16,Correct,No,Sure I'm Right,CT_Organic_Chemistry,27,20,What is the role of the hydroxide ion in the given reaction? 𝐶𝐻3𝐶𝐻2𝐶𝐻2𝐶𝐻2𝐵𝑟 + 𝑂𝐻− → 𝐶𝐻3𝐶𝐻2𝐶𝐻2𝐶𝐻2𝑂𝐻 + 𝐵𝑟−,C. Nucleophile,C. Nucleophile
17,Incorrect,No,Confident,CT_Analytic_Chemistry,27,33,It is a performance parameter that could be used to analyze a blank sample matrix.,B. Selectivity,D. Limit of detection
18,Correct,No,Sure I'm Right,CT_Chemical_Safety,5,7,Examples of activities that require appropriate eye protection include,D. All of the above,D. All of the above
19,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,17,32,Which of the following is inversely proportional?,A. Bond length and bond energy,A. Bond length and bond energy
20,Correct,No,Confident,CT_Inorganic_Chemistry,35,14,Which of the following will require the highest amount of energy to increase its surface area?,A. Butanol,A. Butanol
21,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,22,10,During the electroplating of silver; silver ions in solution,C. Are reduced at the cathode,C. Are reduced at the cathode
22,Correct,No,Sure I'm Right,CT_Organic_Chemistry,20,36,All of the following hydrocarbons will readily react with bromine except,A. Hexane,A. Hexane
23,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,21,7,"In an electrolytic cell, oxidation occurs",A. At the anode,A. At the anode
24,Incorrect,No,Sure I'm Right,CT_Analytic_Chemistry,18,132,The part of an electrochemical cell where oxidation occurs,B. Cathode,A. Anode
25,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,1,8,"Protium, the most common isotope of hydrogen has one proton and one electron. What is its mass?",C. 1.67X10-27 kg,C. 1.67X10-27 kg
26,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,37,12,Which of the following is inversely proportional for an ideal gas?,C. Density and temperature,C. Density and temperature
27,Correct,No,Sure I'm Right,CT_Chemical_Safety,33,9,It refers to the production of reversible damage to the skin occurring after exposure to a substance of mixture,C. Skin irritation,C. Skin irritation
28,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,33,46,The property of an analytical method to determine simultaneously several components independently from each other.,A. Selectivity,A. Selectivity
29,Correct,No,Sure I'm Right,CT_Organic_Chemistry,15,11,Which of the following reactions can reduce an alkene yielding an alkane?,C. Hydrogenation,C. Hydrogenation
30,Correct,No,Sure I'm Right,CT_Organic_Chemistry,29,13,Which chloroalkane undergoes with OH- exclusively by an SN1 mechanism?,A. 2-chloro-2-methylpropane,A. 2-chloro-2-methylpropane
31,Correct,No,Sure I'm Right,CT_Chemical_Safety,7,17,Which of the following is not suitable safety attire when handling large volume of corrosive liquid?,C. General safety glasses,C. General safety glasses
32,Correct,No,Sure I'm Right,CT_Chemical_Safety,16,4,How long should you rinse in an eyewash during accidental chemical splashes on the eyes?,C. 15 mins,C. 15 mins
33,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,11,33,A 25.00 mL sample of 0.100 M acetic acid (CH₃COOH) is titrated with 0.100 M NaOH at 25°C. The acid has Ka=1.8×10−5. Determine the pH of the solution at each of the following points during the titration: What is the approximate pH after 10.00 mL of 0.100 M NaOH has been added?,B. 4.56,B. 4.56
34,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,6,16,Which of the following is not an acid-base conjugate pair?,B. H2S and OH-,B. H2S and OH-
35,Correct,No,Sure I'm Right,CT_Chemical_Safety,17,6,"In an experiment to determine the percentage of water in a solid hydrate by heating, what is the best indication that all the water has been removed?",D. Successive weighing give the same mass,D. Successive weighing give the same mass
36,Correct,No,Sure I'm Right,CT_Chemical_Safety,10,18,Which of the following safety practices implements the substitution method according to the hierarchy of control principle?,B. Use of mercury thermometer alternatives,B. Use of mercury thermometer alternatives
37,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,17,6,All of the following are oxidizing agents except,D. Na2S2O3,D. Na2S2O3
38,Correct,No,Sure I'm Right,CT_Chemical_Safety,18,8,Sample preparation technique used prior to instrumental analysis of metals.,C. Acid digestion,C. Acid digestion
39,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,43,81,"Calculate the molecular formula of an organic compound whose percentage composition is C = 70.04%, H = 5.87%, O = 23.52%. The molecular weight of compound is 136 g/mol",C. C8H8O2,C. C8H8O2
40,Correct,No,Not Set,CT_Organic_Chemistry,48,10,Carboxylic acids are more acidic than alcohols because?,D. All of the above,D. All of the above
41,Correct,No,Confident,CT_Organic_Chemistry,45,15,Ketones react with LiAlH4 to form?,C. Secondary alcohols,C. Secondary alcohols
42,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,48,19,Which of the following can remove a fairly large amount of water from a sample that contains thermally labile material,B. Freeze dryer,B. Freeze dryer
43,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,14,19,Which of the following is arranged in increasing atomic size?,D. Ne<0<Ca Cs,D. Ne<0<Ca Cs
44,Correct,No,Sure I'm Right,CT_Organic_Chemistry,8,22,Which of the following is true for an optically active compound?,A. The molecular configuration is chiral,A. The molecular configuration is chiral
45,Correct,No,Sure I'm Right,CT_Organic_Chemistry,57,19,A 5-g organic solid is dissolved in 100 mL of distilled water. What is the best way to recover the most of the organic solid?,C. Multiple extractions using three 50-ml portions of ether,C. Multiple extractions using three 50-ml portions of ether
46,Correct,No,Sure I'm Right,CT_Chemical_Safety,32,11,The following are gases under pressure except,A. Aerosols,A. Aerosols
47,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,26,3,What is the chemical formula of mercury(l) chloride?,D. Hg2Cl2,D. Hg2Cl2
48,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,7,11,Which of the following is true?,D. Heterogenous mixtures have phase boundaries,D. Heterogenous mixtures have phase boundaries
49,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,1,59,"A solution has 3x10-4 M Cu2+, what is the equivalent concentration in ppm? (Cu = 63.55 g/mol)",D. 19,D. 19
50,Correct,No,Sure I'm Right,CT_Chemical_Safety,25,18,The foam-type extinguishers is most appropriately used for which type of fire?,D. Both A and B,D. Both A and B
