Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
21,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,6,10,A colorless liquid and a yellowish liquid is mixed in a test tube. Which of the following is incorrect?,A. There will be no reaction if the test tube becomes hot,A. There will be no reaction if the test tube becomes hot
22,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,15,15,For this reaction which statement is false? 𝑀𝑔 + 𝐻2𝑂 ⇌ 𝑀𝑔𝑂 + 𝐻2,C. Mg is the oxidizing agent,C. Mg is the oxidizing agent
23,Incorrect,No,Sure I'm Right,CT_Analytic_Chemistry,32,2,"The portion of the calibration curve which includes the range of concentrations of analyte that can be determined with demonstrated precision, accuracy, and response function.",A. Limit of detection,C. Working range
24,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,10,4,A 25.00 mL sample of 0.100 M acetic acid (CH₃COOH) is titrated with 0.100 M NaOH at 25°C. The acid has Ka=1.8×10−5. Determine the pH of the solution at each of the following points during the titration: What is the approximate pH before any NaOH is added?,A. 2.87,A. 2.87
25,Correct,No,Sure I'm Right,CT_Organic_Chemistry,26,4,Freon is an example of a/an __?,B. Alkyl halide,B. Alkyl halide
26,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,5,2,Which of the following is/are true about quality assurance? I. QA is a set of activities for ensuring quality in the process by which products are developed II. QA is a corrective tool and product oriented.,A. I only,A. I only
27,Correct,No,Sure I'm Right,CT_Organic_Chemistry,31,1,"Among the following group of compounds, which will have the highest boiling point?",C. Alcohols,C. Alcohols
28,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,8,2,Which of the following conjugate acid/base pairs should be used to prepare a buffer with pH near 7.15?,C. Sodium dihydrogen phosphate and sodiumhydrogen phosphate (pKa 7.20),C. Sodium dihydrogen phosphate and sodiumhydrogen phosphate (pKa 7.20)
29,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,32,2,Which of the following is expected to have the highest vapor pressure?,D. methylbutane,D. methylbutane
30,Correct,No,Sure I'm Right,CT_Chemical_Safety,16,1,How long should you rinse in an eyewash during accidental chemical splashes on the eyes?,C. 15 mins,C. 15 mins
31,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,4,1,"If you are going to mass produce vitamin C, which standard should you subscribe in?",D. All of these,D. All of these
32,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,35,1,Objects cannot be weighed when hot or warm. But if you were to take a sample out and wait for it to cool it would pick up moisture so it should be placed in a/an,B. Desiccator,B. Desiccator
33,Correct,No,Sure I'm Right,CT_Organic_Chemistry,33,7,Which of the following will react faster with HBr,D. 2-methyl-2-propanob,D. 2-methyl-2-propanob
34,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,16,9,For this reaction which statement is correct? 𝐹𝑒2+ + 𝑀𝑛𝑂4 − ⇌ 𝐹𝑒3+ + 𝑀𝑛2+ + 𝐻2,A. Fe2+ undergoes oxidation,A. Fe2+ undergoes oxidation
35,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,1,1,"It is part of quality systems that is officially defined by the ISO as the assembly of all planned and systematic actions to provide adequate confidence that a product, process, or service will satisfy the given quality requirements",B. Quality assurance,B. Quality assurance
36,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,12,1,Which of the following corresponds to the electron configuration 1s2 2s2 2p62,B. Na+,B. Na+
37,Correct,No,Sure I'm Right,CT_Organic_Chemistry,5,3,What is the name for the alkane? -|---|\-|--,"D. 5-ethyl-2,6-dimethyloctane","D. 5-ethyl-2,6-dimethyloctane"
38,Correct,No,Sure I'm Right,CT_Chemical_Safety,26,6,This general type of reaction results in sudden rapid rise in temperature upon heating of the material that usually becomes violent,C. Runaway reaction,C. Runaway reaction
39,Correct,No,Sure I'm Right,CT_Chemical_Safety,15,11,"The SDS of a certain chemical contains the given pictogram. Determine the corresponding hazards related to the material Blue: 1, Red: 4, Yellow: 2, White: W with strikethrough",C. Slightly hazardous < 73oF Violent chemical change Reacts violently with water,C. Slightly hazardous < 73oF Violent chemical change Reacts violently with water
40,Correct,No,Sure I'm Right,CT_Chemical_Safety,28,5,"During a mercury spillage in the laboratory, what is the most appropriate action to do?",B. Clean spill with an aspirator bulb,B. Clean spill with an aspirator bulb
41,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,15,1,"A reactive part of the quality management system that is concerned on the quality of the product, especially those materials that are soon to be released to the customer",B. Quality control,B. Quality control
42,Correct,No,Sure I'm Right,CT_Chemical_Safety,22,2,Common hazards posed by different chemicals in the laboratories can be found at ___.,D. All of the above,D. All of the above
43,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,36,12,"When the pressure of a gas is increased and the temperature is lowered, which of the following is applicable?",B. Van der Waals forces become evident;,B. Van der Waals forces become evident;
44,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,28,1,Which of the following factors affect the choice of analytical methods?,D. All of the above,D. All of the above
45,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,7,1,A technique used to evaluate the performance of a procedure when testing a specific sample type.,A. Spiking,A. Spiking
46,Correct,No,Sure I'm Right,CT_Chemical_Safety,12,3,Concentrated hydrochloric acid is a highly corrosive material. It is expected that its container contains which of the following GHS label/s? I. a flame over a circle II. an exclamation mark III. liquid spilling from test tubes onto a hand and metal IV. a skull and crossbones,C. II and III,C. II and III
47,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,6,1,A drug sample contains 10.0 ug/L of its active ingredient. A 5.0 ug/L of spike was added to replicate a portion of the drug. The spiked sample gave a concentration of 14.6 ug/L. What is the percent recovery of the spike?,C. 92,C. 92
48,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,11,2,"When a deviation from critical limits happens, what should be done?",D. All of the above,D. All of the above
49,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,31,1,"Which of the following is/are true about instrumental background signal? I. Even when no sample is being analyzed, the instrument will generate a background signal, II. LOD for an instrument improves if the S/N can be increased. III. LOD for an instrument is not affected by S/N",B. I and II,B. I and II
50,Correct,No,Sure I'm Right,CT_Organic_Chemistry,39,13,Which of the following reactions is specific for phenols?,A. Reaction with FeCl3,A. Reaction with FeCl3
