Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
27,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,64,13,What normally happens to the viscosity of a liquid as its temperature increases?,A. It decreases.,A. It decreases.
28,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,66,11,Which molecule is polar?,D. H₂O,D. H₂O
29,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,26,24,What is added to a sample during a spiking procedure?,B. A known quantity of analyte,B. A known quantity of analyte
30,Incorrect,No,Confident,CT_PT_Quality_Assurance_Control,35,23,What is the acceptable range for spiking recovery?,B. 90%–110%,A. 80%–120%
31,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,61,27,What is the pH of 2.5 × 10⁻³ M HNO₃?,B. 2.60,B. 2.60
32,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,31,10,"A series of reference standard solutions that have known and accurate pH values at different temperatures, and used for pH meter calibration.",A. Buffer solutions,A. Buffer solutions
33,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,73,25,Which of the following is TRUE about TC pipets?,D. None of the choices.,D. None of the choices.
34,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,9,31,What is the primary goal of managing quality in analytical laboratories?,B. Incorporate standard protocols into all laboratory activities,B. Incorporate standard protocols into all laboratory activities
35,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,13,9,Elements or groups of elements that have more protons than electrons are called:,B. Cations,B. Cations
36,Correct,No,Confident,CT_PT_Analytical_Chemistry,13,41,A liquid mixture that has a constant boiling point and whose vapor has the same composition as the liquid is a/an:,A. Azeotrope,A. Azeotrope
37,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,44,15,What is the normality of 0.250 M H₂SO₄ in a complete acid–base neutralization?,C. 0.500 N,C. 0.500 N
38,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,3,71,Which condition is required for ideal application of Beer’s Law?,B. light should be monochromatic,B. light should be monochromatic
39,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,42,36,What intermolecular forces are present in acetone? I. London dispersion forces II. Dipole-dipole forces III. Hydrogen bonding between acetone molecules,C. I and II,C. I and II
40,Incorrect,No,Guess,CT_PT_Laboratory_Instrumentation,67,44,Aqua regia is prepared using HCl and HNO₃ in what volume ratio?,B. 1:3,D. 3:1
41,Correct,No,Guess,CT_PT_Quality_Assurance_Control,34,49,A sample is analyzed again later in the same batch or in another batch to provide a less formal quality check. This is called a,B. Repeat sample,B. Repeat sample
42,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,21,13,What is the value of the universal gas constant in cal/mol·K?,C. 1.986,C. 1.986
43,Incorrect,No,Confident,CT_PT_Laboratory_Instrumentation,84,55,Which pair of bonds both absorb at approximately 2250 cm⁻¹ according to the file?,C. O–H and N–H,A. C≡C and C≡N
44,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,22,34,"A sample originally contains 20.0 mg/L of an analyte. After adding a 10.0 mg/L spike, the measured concentration is 29.5 mg/L. What is the percent recovery?",B. 95%,B. 95%
45,Correct,No,Confident,CT_PT_Laboratory_Instrumentation,69,30,"During the “draw” step in liquid-liquid extraction, the analyst initially",A. drains the lower layer,A. drains the lower layer
46,Correct,No,Guess,CT_PT_Quality_Assurance_Control,15,42,Which blank is exposed to the actual site of sampling?,C. Field blank,C. Field blank
47,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,87,8,"In crystallization, crystal phases can be interconverted by varying:",A. Temperature,A. Temperature
48,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,63,36,"How many grams of NaOH, with a molar mass of 40 g/mol, are needed to prepare 500 mL of a 0.500 N NaOH solution?",C. 10.00 g,C. 10.00 g
49,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,69,15,The following will cause drift errors in an analytical balance EXCEPT,D. Temperature of the balance and the sample to be weighed is the same.,D. Temperature of the balance and the sample to be weighed is the same.
50,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,15,17,Which compound is primarily covalent?,C. CO₂,C. CO₂
