Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
13,Incorrect,Yes,Guess,D3_L11_Differential_Equations,25,17,Evaluate the integrating factor of the differential equation: y' + (4/x)y = x³y²,C. 1/x^3,D. 1/x^4
14,Correct,No,Sure I'm Right,D3_L10_ProcessSafety,82,6,What is the main purpose of Good Manufacturing Practices (GMP)?,"B. To ensure products are consistently safe, effective, and of high quality","B. To ensure products are consistently safe, effective, and of high quality"
15,Correct,Yes,Guess,D3_L2_Process_Control_Analysis,43,75,A second-order process has τ = 3 min and ζ = 0.4. A step input of magnitude M is applied. Which of the following best describes the step response behavior?,"C. The output overshoots the final steady-state value, oscillates, and eventually settles because ζ < 1","C. The output overshoots the final steady-state value, oscillates, and eventually settles because ζ < 1"
16,Incorrect,No,Guess,D3_L3_Algebra,19,192,"An arithmetic progression starts with 3, has 9 terms, and the middle term is 19. Determine the sum of the first 9 terms.",C. 110,D. 171
17,Correct,Yes,Guess,D3_L7_Differential_Calculus,44,392,"Consider the curve given by the equation y² + x³ = 0. Find its curvature at the point (-1, 1).",B. 0.128,B. 0.128
18,Incorrect,No,Sure I'm Right,D3_L12_EngineeringEconomics,80,4,The nominal rate of return on the bonds of Steve's boat is 7.75%. The real rate of return is 4.4%. What is the rate of inflation?,A. 3.35%,C. 3.21%
19,Incorrect,Yes,Guess,D3_L13_EngineeringDataAnalysis,78,15,"[Questions 31-39 refer to the following: The times required by three workers to perform an assembly-line task were recorded on five randomly selected occasions. Worker 1: 8, 10, 9, 11, 10. Worker 2: 8, 9, 9, 8, 10. Worker 3: 10, 9, 10, 11, 9.] Compute the mean squares between treatments.",C. 1.56,A. 1.4
20,Incorrect,No,Confident,D3_L1_ChE_Laws,148,29,"In project management, what is usually the first step underlying in the process of performing a project?",B. Define the goals of the project and their relative importance,C. Identify a need for a product or service
21,Correct,No,Sure I'm Right,D3_L12_EngineeringEconomics,17,5,A type of simple interest in which interest is calculated on the basis of a year with 365 days rather than the conventional 360 days.,C. Exact Simple Interest,C. Exact Simple Interest
22,Incorrect,Yes,Guess,D3_L7_Differential_Calculus,80,9,"Find the limit: lim(x, y)→(0,0) (x² + y²)·ln(x² + y²)",D. limit does not exist,B. 0
23,Correct,No,Sure I'm Right,D3_L12_EngineeringEconomics,2,9,It is an economic or a market situation in which only a single seller or producer supplies a commodity or a service.,B. Monopoly,B. Monopoly
24,Correct,Yes,Guess,D3_L4_Trigonometry,19,29,"At a certain point, the angle of elevation of the top of a flagpole, which stands on level ground, is 35 deg. Seventy-five feet nearer the pole, the angle of elevation is 50 deg. How high is the pole?",A. 127.32ft,A. 127.32ft
25,Correct,No,Sure I'm Right,D3_L14_Physics,4,1,Which measurement has higher uncertainty?,B. 120,B. 120
26,Incorrect,Yes,Guess,D3_L5_Geometry,6,7,What is the measure of one interior angle of a regular icosagon?,A. 160u00b0,B. 162u00b0
27,Incorrect,Yes,Guess,D3_L13_EngineeringDataAnalysis,8,14,"There are 5 positions on a flagstaff and 4 different colors of flags, with at least 5 flags of each color available. How many different signals are possible by displaying 5 flags simultaneously? Note that arrangement and order is important.",B. 625,C. 1024
28,Incorrect,Yes,Guess,D3_L11_Differential_Equations,54,13,(Torricelli's law) A cylindrical keg with radius 10cm and height 25cm has a drain hole at the bottom with an area of 2cm². How long does it take for the keg to drain?,A. 56.1s,D. 59.1s
29,Incorrect,Yes,Guess,D3_L6_AnalyticGeometry,19,11,"Find the equation of the line through point (3, 1) and is perpendicular to the line x + 5y + 5 = 0.",D. 2x + 5y = 14,B. 5x u2013 y = 14
30,Correct,No,Sure I'm Right,D3_L10_ProcessSafety,11,12,"What phase of 5S involves identifying unnecessary items with a red tag system and organizing the remaining items, possibly through color-coding, for efficient use and access?",A. Sort,A. Sort
31,Correct,Yes,Guess,D3_L12_EngineeringEconomics,32,9,"If P1000 accumulates to P1500 when invested at a simple interest for 3 years, what is the rate of interest?",A. 16.67%,A. 16.67%
32,Incorrect,Yes,Guess,D3_L7_Differential_Calculus,58,41,[Situation 3: Sphere with radius 12 in; cylinder inscribed with maximum volume] What is the height of the cylinder?,D. 10√3 in,C. 8√3 in
33,Incorrect,Yes,Guess,D3_L6_AnalyticGeometry,26,21,Find the center of the circle x^2 + y^2 u2013 6x + 4y u2013 23 = 0.,"D. (-3, -2)","A. (3, -2)"
34,Correct,Yes,Guess,D3_L3_Algebra,15,11,"Given that the roots of the polynomial x^3 - 7x^2 + 13x - 7 = 0 are r, s and t, compute the value of 1/r + 1/s + 1/t.",A. 13/7,A. 13/7
35,Incorrect,No,Sure I'm Right,D3_L1_ChE_Laws,115,7,Where do one submit or file the incorporation documents of an applicant company?,A. mayor's office,C. SEC
36,Incorrect,No,Sure I'm Right,D3_L14_Physics,43,11,"A concave mirror forms a real image that is twice the size of the object. If the object is 20 cm from the mirror, the radius of curvature of the mirror must be about:",A. 13 cm,B. 27 cm
37,Correct,Yes,Guess,D3_L4_Trigonometry,17,212,In which quadrant will angle A terminate if sec A is positive and csc A is negative?,D. IV,D. IV
38,Correct,Yes,Not Set,D3_L15_Engineering_Mechanics,41,19,A circular road course track has a radius of 500 m and is banked at 10°. The coefficient of friction between the road and tire is 0.25. Compute the maximum speed to avoid slipping.,C. 46.77 m/s,C. 46.77 m/s
39,Correct,No,Sure I'm Right,D3_L10_ProcessSafety,20,4,Why does site history have to be considered for hazard identification?,C. To know source and cause of contamination,C. To know source and cause of contamination
40,Correct,No,Sure I'm Right,D3_L9_CPI,95,1,Residue formed in the petroleum refining is ___________,C. Asphalt,C. Asphalt
41,Correct,No,Sure I'm Right,D3_L2_Process_Control_Analysis,8,6,Under what circumstances does an open control loop exist?,A. Process variable is not measured,A. Process variable is not measured
42,Incorrect,Yes,Guess,D3_L5_Geometry,24,17,A circle whose area is 452 cm square is cut into two segments by a chord whose distance from the center of the circle is 6 cm. Find the area of the larger segment in cm square.,C. 368.4,B. 363.6
43,Incorrect,Yes,Guess,D3_L13_EngineeringDataAnalysis,52,57,"Given the PMF of a discrete random variable X: P(X=1)=0.2, P(X=2)=0.3, P(X=3)=0.5, and 0 otherwise. What is the mean (μ) of the random variable X?",C. 2.2,A. 2.3
44,Correct,No,Sure I'm Right,D3_L8_Integral_Calculus,54,3,What is the Laplace transform of sin(2t)?,B. 2/(s²+4),B. 2/(s²+4)
45,Correct,No,Sure I'm Right,D3_L2_Process_Control_Analysis,53,11,"In process control, valves have various states wherein each state has a separate process function. Which of the following pertains to a temporary state wherein the valve has been commanded to change state, is not yet consistent with the commanded state, and the time to switch between states has not yet expired?",B. Transition,B. Transition
46,Correct,No,Sure I'm Right,D3_L1_ChE_Laws,105,7,The amount which the individual declared as income tax in his final adjusted and annual income tax return:,C. estimated tax,C. estimated tax
47,Incorrect,Yes,Guess,D3_L13_EngineeringDataAnalysis,80,8,"[Questions 31-39 refer to the following: The times required by three workers to perform an assembly-line task were recorded on five randomly selected occasions. Worker 1: 8, 10, 9, 11, 10. Worker 2: 8, 9, 9, 8, 10. Worker 3: 10, 9, 10, 11, 9.] Compute the F-statistic.",B. 0.9,C. 1.56
48,Correct,No,Sure I'm Right,D3_L3_Algebra,2,6,Simplify: [(x^2 y^3 z^-2)^-3 (x^-3 y z^3)^(-1/2)] / (xyz^-3)^(-5/2),B. 1/(x^2 y^7 z^3),B. 1/(x^2 y^7 z^3)
49,Correct,Yes,Guess,D3_L8_Integral_Calculus,51,9,Which of the following is considered as the Fredholm equation of the second kind?,"D. u(x) = f(x) + λ∫[a, b] K(x, t)u(t)dt","D. u(x) = f(x) + λ∫[a, b] K(x, t)u(t)dt"
50,Incorrect,Yes,Guess,D3_L4_Trigonometry,8,42,Simplify: cos x / (sin x + 1) + tan x,C. cot x,B. sec x
