Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
12,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,6,72,What is the density of 53.4% NaOH (40) if 16.7 mL of the solution diluted to 2 L gave 0.169 M NaOH?,A. 1.52 g/mL,A. 1.52 g/mL
13,Correct,No,Guess,D1_L3_Analytical_Chemistry,12,17,One pound of a mixture of NaCl and KCl was treated with sulfuric acid and 1.2 lb of potassium and sodium sulfate were recovered. What is the mass ratio of NaCl to KCl in the original mixture?,A. 2.14,A. 2.14
14,Correct,No,Confident,D1_L3_Analytical_Chemistry,30,71,Find the pH at the following points in the titration of 50 mL of 0.02 M KOH with 0.1 M HBr. What is the pH when 3 mL of 0.1 M HBr is added?,C. 12.3,C. 12.3
15,Incorrect,No,Sure I'm Right,D1_L5_Material_Science_Engineering,76,5,Which thermodynamic property does the Clausius-Clapeyron equation relate to the slope of the vapor pressure curve?,A. Temperature,B. Entropy change of vaporization
16,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,28,7,It is the phenomenon that results in the overabundance of algae growth in bodies of water. It is also the natural process of nutrient enrichment that occurs over time in a body of water.,B. eutrophication,B. eutrophication
17,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,16,2,A 0.1 M solution of a base has pH = 9.28. Find K_b.,B. 3.6x10⁻⁹,B. 3.6x10⁻⁹
18,Incorrect,No,Confident,D1_L5_Material_Science_Engineering,42,1,The maximum stress that can be sustained by a structure in tension. This is the maximum point in the engineering stress-strain diagram.,A. yield strength,C. tensile strength
19,Correct,Yes,Slightly Confident,D1_L4_Organic_Chemistry,47,39,"Determine the double bond stereochemistry (E or Z) for the following molecules. Molecule A: a trisubstituted alkene drawn with a vertical C=C bond, with two alkyl chains on the upper alkene carbon and a single ethyl group on the lower alkene carbon. Molecule B: a disubstituted alkene in a zigzag chain, with the C=C near the left end and its two chain substituents drawn on the same side (cis-type arrangement).",C. A: E; B: Z,C. A: E; B: Z
20,Incorrect,Yes,Guess,D1_L5_Material_Science_Engineering,72,16,"A 50 mL solution of 1 M HCl is mixed with 50 mL of 1 M NaOH. The initial temperature of both solutions is 25.0°C, and the final temperature after mixing is 31.2°C. Given that the density of the solution is 1 g/mL and specific heat capacity is 4.18 J/g-°C, calculate the heat of mixing.",D. -26040 J,C. -51800 J
21,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,74,18,"You are performing safety audit and encounter pressurized cylinder marked with the following NFPA 704 Diamond: Blue: 4, Red: 0, Yellow: 1, White: W. A small fire has started on wooden pallet nearby: The heat is beginning to radiate toward the cylinder: Based strictly on the NFPA Diamond provided; which of the following is the most critical safety directive for the response team?",B. Evacuate the area and utilize self-contained breathing apparatus (SCBA):,B. Evacuate the area and utilize self-contained breathing apparatus (SCBA):
22,Correct,No,Sure I'm Right,D1_L4_Organic_Chemistry,115,61,What is the difference between NMR and IR spectroscopy?,"B. NMR determines the chemical structure and molecular weight, IR determines the functional groups present.","B. NMR determines the chemical structure and molecular weight, IR determines the functional groups present."
23,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,48,9,Describe the procedure for smelling a chemical.,B. Point vessel away from face while gently fanning vapors toward nose,B. Point vessel away from face while gently fanning vapors toward nose
24,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,22,11,"Which country is the largest producer of nuclear energy, with 95.8 GW produced in 2023",C. USA,C. USA
25,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,26,3,Find the pH at the following points in the titration of 30 mL of 0.05 M HClO₄ with 0.1 M KOH. What is the pH at the initial point?,A. 1.3,A. 1.3
26,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,4,8,What is the primary source of the worlds energy consumption?,B. Oil,B. Oil
27,Correct,No,Sure I'm Right,D1_L5_Material_Science_Engineering,80,10,"If equal amounts of BaCl₂ and Na₂SO₄ solutions are mixed, what will be the precipitate formed?",A. BaSO₄,A. BaSO₄
28,Correct,No,Sure I'm Right,D1_L5_Material_Science_Engineering,90,11,A solution has an absorbance of 0.301 when measured using a spectrophotometer. What is its transmittance (T)?,C. 50%,C. 50%
29,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,18,8,Which of the following can be explained by the Second Law of Thermodynamics?,D. Inefficiency of heat engines,D. Inefficiency of heat engines
30,Incorrect,No,Confident,D1_L1_Chem_for_Engineers,1,12,Which of the following forces is responsible for the rise or drop in potential energy of an object?,A. Gravitational force,D. AIl of the above
31,Incorrect,Yes,Guess,D1_L4_Organic_Chemistry,88,106,Which of the following compounds would not be a possible product from the mixed aldol reaction of two butanal molecules?,B. 2-ethyl-3-hydroxybutanal,C. 3-ethyl-2-hydroxyhexanal
32,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,62,20,Which of the following is a common coagulant used in water treatment?,B. Aluminum sulfate,B. Aluminum sulfate
33,Incorrect,Yes,Guess,D1_L2_Environmental_EngSci,95,10,Which statement about Scope 2 emissions is true?,A. They are under direct operational control,C. They arise from purchased energy
34,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,3,8,Which of these fuels has the least energy density?,D. Dry wood,D. Dry wood
35,Correct,No,Confident,D1_L5_Material_Science_Engineering,27,11,The crystallographic direction [1 0 0] in a cubic crystal points along:,A. The x-axis,A. The x-axis
36,Incorrect,No,Sure I'm Right,D1_L1_Chem_for_Engineers,44,5,Recall the pictogram that shows a silhouette of a person with starburst on the chest ~what type of health hazard does this symbol represent?,C. acute toxicity,B. serious health hazard
37,Incorrect,No,Sure I'm Right,D1_L4_Organic_Chemistry,27,13,What is the name of CH₃CH=CHCHO?,D. 2-butenealdehyde,C. 2-butenal
38,Correct,Yes,Guess,D1_L4_Organic_Chemistry,87,89,"When a ketone is reacted with primary amine, the product is:",D. imine,D. imine
39,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,63,4,What is the role of a flocculant in water treatment?,C. Helps in aggregation of fine particles,C. Helps in aggregation of fine particles
40,Incorrect,No,Sure I'm Right,D1_L5_Material_Science_Engineering,43,6,The ability of a material to absorb energy in the plastic and elastic range.,B. strength,A. toughness
41,Correct,Yes,Guess,D1_L2_Environmental_EngSci,93,11,The GHG Protocol divides emissions into how many Scopes?,B. 3,B. 3
42,Correct,No,Sure I'm Right,D1_L2_Environmental_EngSci,75,4,The final stage of wastewater treatment often involves:,B. disinfection,B. disinfection
43,Correct,Yes,Guess,D1_L5_Material_Science_Engineering,70,124,An ideal gas undergoes isothermal expansion at a temperature of 350 K. The gas expands from an initial volume of 2.0 L to a final volume of 5.0 L. The heat absorbed by the gas during this process is 500 J. What is the change in entropy (ΔS) of the system?,C. 1.43 J/K,C. 1.43 J/K
44,Incorrect,Yes,Guess,D1_L2_Environmental_EngSci,20,30,"For numbers 18 to 20: The dilution factor P for an unseeded mixture of waste and water is 0.030. The DO of the mixture is initially 9.0 mg/L, and after five days, it has dropped to 3 mg/L. The reaction rate constant k has been found to be 0.22 /day.: What would be the remaining oxygen demand after five days?",D. 50 mg/L,A. 100 mg/L
45,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,40,29,"The Kjeldahl procedure was used to analyze 256 microliters of a solution containing 37.9 mg/mL protein. The liberated NH₃ (17.031) was collected in 5 mL of 0.0336 M HCl, and the remaining acid required 6.34 mL of 0.01 M NaOH for complete titration. What is the weight % of nitrogen (14.007) in the protein?",B. 15.1%,B. 15.1%
46,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,9,39,"A method to measure soluble organic carbon in seawater includes oxidation of the organic materials to CO₂ with K₂S₂O₈, followed by a gravimetric determination of the CO₂ trapped by a column of ascarite. A water sample weighing 6.234 g produced 2.378 mg CO₂ (44.009). Determine the ppm C in the seawater.",B. 104.01,B. 104.01
47,Incorrect,No,Confident,D1_L4_Organic_Chemistry,109,20,Which of the following compounds reacts most rapidly with HNO₃/H₂SO₄?,A. toluene,B. anisole
48,Incorrect,No,Sure I'm Right,D1_L4_Organic_Chemistry,104,13,What is the name of the following compound? Structure: a toluene ring (benzene bearing CH₃) with an NO₂ group on the adjacent (ortho) carbon and a Br on the ring carbon that is meta to the CH₃ and para to the NO₂.,C. m-bromo-o-nitrotoluene,D. 5-bromo-2-nitrotoluene
49,Correct,No,Sure I'm Right,D1_L5_Material_Science_Engineering,6,4,Which type of bonding involves the sharing of electron pairs between atoms?,B. Covalent,B. Covalent
50,Correct,No,Guess,D1_L2_Environmental_EngSci,83,26,What is the typical COD/BOD ratio for domestic wastewater?,B. 1.5 u2013 2.5,B. 1.5 u2013 2.5
