Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
17,Incorrect,Yes,Slightly Confident,CT_PT_Quality_Assurance_Control,24,29,Which standard is also called a working standard?,C. Analytical standard,B. Secondary standard
18,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,2,104,An audit conducted by an individual not directly related to the organization is classified as,B. External audit,B. External audit
19,Correct,Yes,Guess,CT_PT_Laboratory_Instrumentation,12,21,A hollow cathode tube lamp is necessary in AAS because,A. The width of an atom’s absorption band is narrow.,A. The width of an atom’s absorption band is narrow.
20,Correct,Yes,Guess,CT_PT_Laboratory_Instrumentation,15,9,Which GC detector is particularly sensitive to compounds containing electronegative atoms?,C. ECD,C. ECD
21,Incorrect,No,Slightly Confident,CT_PT_Laboratory_Instrumentation,66,13,Why must solutions with high concentrations be diluted prior to analysis via Beer’s Law?,B. The molar absorptivity of a compound is dependent on its concentration.,D. The relationship between absorbance and concentration is not linear at high concentration.
22,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,38,5,Arrange the following scenarios according to the scientific method. I. Different solvents are used in trials to process raw material X. II. Raw material X yielded more products than the original material. III. A previous study suggested the use of a different raw material X.,"C. III, I, II","C. III, I, II"
23,Incorrect,Yes,Guess,CT_PT_Laboratory_Instrumentation,59,22,Which light source should be used in the wavelength range of 340 to 1000 nm?,C. Mercury vapor lamp,B. Tungsten
24,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,4,10,Which of the following is the correct order in which light passes through a UV-Vis spectrophotometer?,"B. source, monochromator, sample, detector","B. source, monochromator, sample, detector"
25,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,79,10,The lining of the stomach contains cells that secrete an HCl solution. Which drink would best alleviate heartburn caused by excess stomach acid?,"D. Milk of magnesia, pH 10.5","D. Milk of magnesia, pH 10.5"
26,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,54,8,Accreditation gives formal recognition that a laboratory is,B. Competent to carry out certain tasks,B. Competent to carry out certain tasks
27,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,10,9,"An element has the notation shown in the image. How many neutrons does it have? (Notation image not included in the source; assumed to be ⁴⁰₁₈Ar, with mass number 40 and atomic number 18.)",B. 22,B. 22
28,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,2,4,This is used to remove trace amounts of water from organic solutions and can be added to pooled organic layers before removal of the organic solvent.,A. Drying agent,A. Drying agent
29,Incorrect,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,25,26,The height equivalent of a theoretical plate (HETP) has all of the following characteristics EXCEPT,A. It is defined by the van Deemter equation.,D. This quantity times the column length is equal to the number of theoretical plates in the column.
30,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,32,2,A drug sample contains 10.0 µg/L of its active ingredient. A 5.0 µg/L of spike was added to a replicate portion of the drug. The spiked sample gave a concentration of 14.6 µg/L. What is the % recovery of the spike?,D. 92,D. 92
31,Incorrect,No,Slightly Confident,CT_PT_Laboratory_Instrumentation,21,2,An analytical balance should have a precision of at least,A. 1 part in 10²,D. 1 part in 10⁵
32,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,46,23,Which is the most ideal gas element?,A. Helium,A. Helium
33,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,53,14,Which statement best describes a Quality Control sample?,B. A sample with known composition and a matrix similar to the samples being analyzed,B. A sample with known composition and a matrix similar to the samples being analyzed
34,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,17,20,It allows many successive distillations to take place at once and contains indentations or packing material with a large surface area.,D. Fractionating column,D. Fractionating column
35,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,19,2,What is the name of BF₃?,B. Boron trifluoride,B. Boron trifluoride
36,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,23,2,Aqua regia is a/an,A. Solution,A. Solution
37,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,35,15,"A sample actually contains 9 mg/L of a substance, but the reported result is only 5 mg/L. The acceptable limit is 7 mg/L. This is an example of:",B. False negative,B. False negative
38,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,86,7,"To determine the density of a liquid, which should be used?",C. Pycnometer,C. Pycnometer
39,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,67,2,"Objects cannot be weighed when hot or warm. But if you were to take a sample out and wait for it to cool, it would pick up moisture, so it should be placed in a/an:",B. Desiccator,B. Desiccator
40,Correct,No,Confident,CT_PT_Quality_Assurance_Control,36,25,Clinical Pathology Accreditation is a quality system standard specifically employed in,B. Pathology laboratories,B. Pathology laboratories
41,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,9,16,It is the nominal volume of water or mercury contained or delivered by an article of volumetric glassware at its reference temperature.,C. Capacity,C. Capacity
42,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,81,4,Sample preparation technique used prior to instrumental analysis of metals:,C. Acid digestion,C. Acid digestion
43,Incorrect,No,Confident,CT_PT_Quality_Assurance_Control,18,19,Which statement best describes quality according to the presentation?,C. Obtaining exactly the same result in every analysis,B. Meeting minimum specifications set by the customer in a timely manner
44,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,16,21,Adding NaCl to a saturated AgCl solution will generally:,B. Decrease the solubility of AgCl,B. Decrease the solubility of AgCl
45,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,69,2,Predict the product of the following acid-base reaction: NH₃(aq) + HNO₃(aq) →,B. NH₄NO₃(aq),B. NH₄NO₃(aq)
46,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,6,2,"A compound contains 40.0% carbon, 6.7% hydrogen, and 53.3% oxygen. What is its empirical formula?",B. CH₂O,B. CH₂O
47,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,24,4,Possible sources of contamination during sample preparation include:,A. All of the choices,A. All of the choices
48,Correct,No,Not Set,CT_PT_Inorganic_Chemistry,1,11,What is the usual relationship between temperature and the solubility of a solid in a liquid?,B. Directly proportional,B. Directly proportional
49,Incorrect,No,Guess,CT_PT_Laboratory_Instrumentation,6,20,Which of the following has the correct order of elution (first to last) from an HPLC column containing a reversed-phase packing?,"A. acetone, dichloroethane, acetamide","B. acetamide, acetone, dichloroethane"
50,Correct,No,Guess,CT_PT_Laboratory_Instrumentation,79,30,Which is a disadvantage of microwave digestion?,B. inability to add reagents during digestion,B. inability to add reagents during digestion
