Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
34,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,39,43,A student needs to transfer his precipitant from the beaker to the filter paper. Which of the following would be the best procedure in order to ensure a quantitative transfer of precipitate?,"B. Most of the supernatant liquid is decanted then bulk of precipitate is transferred to filter paper through a stirring rod, then the beaker is washed several times with small volumes of wash solution.","B. Most of the supernatant liquid is decanted then bulk of precipitate is transferred to filter paper through a stirring rod, then the beaker is washed several times with small volumes of wash solution."
35,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,30,21,What is/are the intermolecular forces present in the molecule CH3COCH3? I. London dispersion forces II. Dipole-dipole forces III. Hydrogen bonding,C. I and II,C. I and II
36,Correct,No,Guess,CT_Analytic_Chemistry,23,184,Consider a molten CaCl2 in an electrolytic cell. Suppose a current of 0.452 A is passed through the cell for 1.50 hr. How much product will be formed at the anode and cathode?,A. 0.507 g Ca and 0.897 g Cl2,A. 0.507 g Ca and 0.897 g Cl2
37,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,37,7,A student is tasked to measure 12 mL of a liquid as precisely as possible. Which measuring device should be selected for this task?,B. 25 mL graduated cylinder,B. 25 mL graduated cylinder
38,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,3,189,An exact amount of 0.8214 g of KMnO4 (158 g/mol) was dissolved in water and made up to volume in a 500 mL volumetric flask. A 2.00 mL portion of this solution was transferred to a 1000 mL flask and diluted. Then 10 mL of this diluted solution was transferred to a 250 mL flask and diluted to volume. What is the molar concentration of the final solution?,C. 8.32x10-7M,C. 8.32x10-7M
39,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,21,8,"In an electrolytic cell, oxidation occurs",A. At the anode,A. At the anode
40,Correct,No,Sure I'm Right,CT_Organic_Chemistry,40,12,Ethers undergo which of the following reactions?,B. Substitution,B. Substitution
41,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,40,7,Which of the following is true about TC pipets?,D. None of the above,D. None of the above
42,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,3,11,Which of the following is not equivalent to 1000 pF,B. 0.1x10-10 nF,B. 0.1x10-10 nF
43,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,49,6,"In an experiment to determine the percentage of water in a solid hydrate by heating, what is the best indication that all the water has been removed?",D. Successive weighing give the same mass,D. Successive weighing give the same mass
44,Correct,No,Sure I'm Right,CT_Organic_Chemistry,1,6,What is the bond angle and molecular geometry around a carbon atom with 4 single bonds?,"B. 109.5o, tetrahedral","B. 109.5o, tetrahedral"
45,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,43,5,"Calculate the molecular formula of an organic compound whose percentage composition is C = 70.04%, H = 5.87%, O = 23.52%. The molecular weight of compound is 136 g/mol",C. C8H8O2,C. C8H8O2
46,Correct,No,Sure I'm Right,CT_Organic_Chemistry,13,13,Alkanes react with halogens via,A. Free radical substitution,A. Free radical substitution
47,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,14,109,A 25.00 mL sample of 0.100 M acetic acid (CH₃COOH) is titrated with 0.100 M NaOH at 25°C. The acid has Ka=1.8×10−5. Determine the pH of the solution at each of the following points during the titration: What is the approximate pH after 30.00 mL of 0.100 M NaOH has been added?,C. 11.96,C. 11.96
48,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,8,6,An element has notation Ar: How many neutrons does this element have?,B. 22,B. 22
49,Correct,No,Sure I'm Right,CT_Organic_Chemistry,19,8,Which of the following is produced when calcium carbide reacts with water?,D. acetylene,D. acetylene
50,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,46,22,"Ammonia is produced in according to the equation N2 + 3H2 → 2NH3. in a particular experiment, 0.25 mol of NH3 is formed when 0.5 mol of N2 is reacted with 0.5 mol of H2. What is the percent yield?",A. 75%,A. 75%
