Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
17,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,43,12,It is a laboratory quality control activity that is used to verify that an instrument works correctly on a day-to-day basis.,C. System suitability checking,C. System suitability checking
18,Incorrect,No,Slightly Confident,CT_PT_Laboratory_Instrumentation,77,60,"According to the file, measuring pipets commonly have maximum capacities ranging from",A. 0.01 to 5 mL,B. 0.1 to 25 mL
19,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,36,16,Which funnel should be used to filter hot mother liquor during recrystallization?,D. Short-stem funnel,D. Short-stem funnel
20,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,48,9,Which pair is inversely proportional?,C. Bond length and bond energy,C. Bond length and bond energy
21,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,53,63,A gas occupies 2.00 L at 300 K. What volume will it occupy at 450 K under constant pressure?,C. 3.00 L,C. 3.00 L
22,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,7,13,What is the name of Fe(NO₃)₃?,C. Iron(III) nitrate,C. Iron(III) nitrate
23,Correct,No,Guess,CT_PT_Inorganic_Chemistry,45,62,What is the wavelength of light in nanometers if its frequency is 600 THz?,A. 500 nm,A. 500 nm
24,Incorrect,No,Guess,CT_PT_Quality_Assurance_Control,42,36,Which quality control sample provides a less formal check than a conventional QC sample?,C. Field blank,B. Repeat sample
25,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,83,10,"In an electrolytic cell, oxidation occurs",A. At the anode,A. At the anode
26,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,44,18,Which of the following are characteristics of a QC sample?,D. All of the above.,D. All of the above.
27,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,18,12,"An exact amount of 0.8214 g of KMnO₄, with a molar mass of 158 g/mol, was dissolved in water and diluted to volume in a 500 mL volumetric flask. A 2.00 mL portion was transferred to a 1000 mL flask and diluted to volume. Then, 10.00 mL of the diluted solution was transferred to a 250 mL flask and diluted to volume. What is the molar concentration of the final solution?",C. 8.32 × 10⁻⁷ M,C. 8.32 × 10⁻⁷ M
28,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,32,30,Widely used continuous atomization method in AAS. It is also the most reproducible of all liquid-sample introduction methods that have been developed for AAS to date.,A. Flame,A. Flame
29,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,63,46,The total volume of an average adult’s expanded lungs is approximately 6 L. Calculate the pressure of 0.05 mol oxygen at 37°C.,D. 0.212 atm,D. 0.212 atm
30,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,51,18,Which chemical standard has the highest metrological qualities and whose value is accepted without reference to another standard of the same quantity?,D. Primary standard,D. Primary standard
31,Correct,No,Guess,CT_PT_Quality_Assurance_Control,27,37,"Which standard promotes the adoption of a process approach in developing, implementing, and improving a quality management system?",B. ISO 9000 Quality Management System,B. ISO 9000 Quality Management System
32,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,66,26,Which statements BEST describe a primary method? I. It is a set of instructions on how to carry out a method issued by a national standards body. II. It has the highest metrological qualities. III. It employs materials such as certified reference materials. IV. Titrating hydrochloric acid with anhydrous sodium carbonate to determine the acid concentration is an example.,C. II and IV,C. II and IV
33,Incorrect,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,57,8,"If you are going to mass produce vitamin C, which standard should you subscribe in?",D. All of these,A. GMP
34,Incorrect,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,5,41,"Along the third period, which arrangement shows increasing affinity for electrons?",D. Ar < Cl < Mg < Na,B. Ar < Na < Mg < Cl
35,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,59,9,In which part of an electrochemical cell does oxidation occur?,A. Anode,A. Anode
36,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,90,22,The elution power of a solvent is determined by __________.,D. All of the mentioned,D. All of the mentioned
37,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,4,24,All of the following are properties of an organic solvent for extraction EXCEPT,B. React with the desired substance,B. React with the desired substance
38,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,33,22,Which of the following can cause ERRORS during sample preparation? I. Loss of sample during weighing or dissolution II. Contamination by impurities in reagents and in the environment III. Changes in mass due to varying humidity and temperature IV. Obtaining a nonhomogeneous sample from the bulk,"D. I, II, III, and IV","D. I, II, III, and IV"
39,Correct,No,Confident,CT_PT_Laboratory_Instrumentation,31,17,Fractional distillation is appropriate when the boiling points of two miscible liquids differ by,A. less than 25 °C,A. less than 25 °C
40,Correct,No,Confident,CT_PT_Laboratory_Instrumentation,75,39,"If T = 0.01, what is the absorbance?",C. 2,C. 2
41,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,24,27,"The addition of potassium chloride, a nonvolatile solute, to water:",A. Increases the boiling point of water,A. Increases the boiling point of water
42,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,61,15,Recrystallization is particularly important for purifying,B. nonvolatile organic solids,B. nonvolatile organic solids
43,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,57,122,A solution has 3 × 10⁻⁴ M Cu²⁺. Convert this concentration into ppm. Atomic mass of Cu = 63.55 g/mol.,D. 19 ppm,D. 19 ppm
44,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,28,73,A type of blank that is commonly used with techniques such as spectrophotometry to zero the instrument before measuring test samples and other blanks.,A. Reagent blank,A. Reagent blank
45,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,75,7,"In an experiment to determine the percentage of water in a solid hydrate by heating, what is the best indication that all water has been removed?",D. Successive weighings give the same mass.,D. Successive weighings give the same mass.
46,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,1,6,All are common carrier gases for gas chromatography EXCEPT,C. Oxygen,C. Oxygen
47,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,59,7,Sodium carbonate is also known as,B. Soda ash,B. Soda ash
48,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,25,10,Process in which all of the modifications made into a laboratory activity are documented.,B. Audit trail,B. Audit trail
49,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,32,27,Convert 250 μL to milliliters.,C. 0.250 mL,C. 0.250 mL
50,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,37,15,Which of the following is NOT an acid–base conjugate pair?,B. H₂S and OH⁻,B. H₂S and OH⁻
